time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.4804831233209024e-06,3.073186919879552e-07,2.069970728664945,8.389687653309608e-05,0.0003203761098102831,0.0,-0.000125895403634989,2.895118146512129e-05,2.3307160540851855,0.004058032985601232,0.014312847451529583,0.0,899.7802628164566,900.3593335518393,899.9501166629943,900.1142996909704
0.12000000000000001,-0.00011484735569930167,2.3772347699257944e-05,2.2779199215625354,6.282959257382404,0.0025624817577609704,0.0,-0.005305571127314597,0.0009450127778052211,4.594764548184662,-0.07266324157918527,-0.15478825709602023,0.0,896.7980905993114,889.9024542777661,895.9153259112435,892.7907803988068
0.18,-0.0005082423337695872,-7.261293252655422e-06,2.6210685729328147,6.278506774119608,6.275902277591012,0.0,-0.0038759637146550214,-0.00380586215074077,6.833006323321319,-0.07749026343977765,-0.19880594742694327,0.0,898.8600553270362,897.0627582440846,899.2650779653803,899.0682765667976
0.23999999999999996,4.050861243839389e-05,-0.0006933444398023346,3.096348184106208,6.274136830895234,6.264732588261902,0.0,0.02667997629674112,-0.0208071338566305,8.99522273087031,-0.06485180926566259,-0.168537818937242,0.0,899.292023710559,900.5024102308159,899.5501987306791,900.0606702786041
0.3,0.0032565019848479803,-0.0027193222706994894,3.698144231397382,6.270486344715607,6.255232834375633,0.0,0.08394934112802337,-0.04801637414504298,11.047072001833765,-0.053834888835056646,-0.14325859788737452,0.0,898.8478503222454,899.8617050387553,899.5045207434063,899.9500135780073
0.36000000000000004,0.010533329337895806,-0.006608171870185374,4.4193211046096526,6.267828374503841,6.247189841765756,0.0,0.16107567302328846,-0.08241944067096829,12.972223911791131,-0.029976166926509423,-0.12011283630410494,0.0,899.2013335910881,900.1318701734,899.0082140981821,899.9745190191381
0.4200000000000001,0.02287877861722725,-0.012680536356862199,5.251957903935318,6.2665397645033565,6.2403054955227155,0.0,0.2520832498994014,-0.12018207848603914,14.760822199731377,-0.00836912851856371,-0.10572494396852343,0.0,899.9342669219365,900.5121046698007,899.6173593560394,900.4922880879669
0.48000000000000015,0.0409726263132946,-0.021021432379405503,6.1874727930458056,6.266306209987441,6.234099824970134,0.0,0.352105659417041,-0.15759150841990782,16.40073245113594,0.0038229242781143893,-0.09919251045702566,0.0,900.0313709218748,900.2924226393847,899.6941228120733,900.1878557877689
0.5400000000000001,0.06525148346612962,-0.03153774836674606,7.216829635146839,6.266576363490094,6.228383749353281,0.0,0.4578317907775844,-0.19249952887320493,17.88882484310683,0.00582849070403768,-0.08839515369000045,0.0,899.4574883721085,899.8921071687644,900.0933032427488,900.1743997135279
0.6000000000000002,0.09597496087124179,-0.04405559675870994,8.330983956425525,6.267033383148382,6.222957705300063,0.0,0.5665683695359196,-0.22428578645252809,19.227816248206032,0.010973767999397827,-0.09485717079215591,0.0,900.1299043280163,899.8659371093386,899.7703073051154,899.978526731161
0.6600000000000003,0.133274241801435,-0.05837970904892397,9.521124039783755,6.268103590023477,6.217409500598102,0.0,0.6769130405200005,-0.2526171335966398,20.422635652760228,0.028888635413953905,-0.08808140540584246,0.0,899.9932232195441,900.2650813659627,899.4359392190672,900.1612869146076
0.7200000000000003,0.17721229066822072,-0.07427466460916443,10.778831903634847,6.270128989715385,6.2123026169590325,0.0,0.7876155054696162,-0.27646826878960046,21.481351651188664,0.042048518964960514,-0.07976143499508706,0.0,900.1036188475081,900.4384872800664,899.5944709160083,900.1272723573001
0.7800000000000004,0.2277649717677575,-0.09144371319993644,12.096226826876011,6.272999562227724,6.207656245616182,0.0,0.8972061074621294,-0.2950012790035277,22.413683088126753,0.057451939383892384,-0.07316098627488835,0.0,900.2335706701407,900.4993134123234,899.7708196125362,900.3946324378353
0.8400000000000004,0.2848277328558131,-0.10955101110937879,13.465989254400572,6.276650008131057,6.203686393261602,0.0,1.0044650391439933,-0.30769047500921093,23.22855551648178,0.06687606510136025,-0.05494182088201152,0.0,900.0490593826028,900.7856551994325,899.6816409374493,900.0639050494048
0.9000000000000005,0.3482248733961308,-0.12824219563213463,14.881402493408778,6.280726628067198,6.200724087885609,0.0,1.1081656631386172,-0.31450190776124604,23.937025302407342,0.06999683473952382,-0.04007584671706038,0.0,900.2562934696585,900.8577685931042,899.5080475366767,899.6353928669031
0.9600000000000005,0.41771189087205673,-0.14717717663280355,16.336415964674284,0.0017957290869485831,6.198710779154624,0.0,1.2073535178847306,-0.3159094551128088,24.55017732812076,0.07266655452528437,-0.022957180726318794,0.0,899.9697073020765,900.6628975074223,899.6123142336229,899.7215282543611
1.0200000000000005,0.49299947074423667,-0.16604915566392744,17.825663670631915,0.00657833287216647,6.19816330096744,0.0,1.3013911665496585,-0.3124515357906331,25.079682736999157,0.0909922116157415,0.009670704845153678,0.0,899.774083916383,901.0950068141879,899.3609575171407,900.1048714692594
1.0800000000000005,0.5737458711291015,-0.18456682588260734,19.344402451641525,0.012268242642672789,6.199252232500234,0.0,1.3891693884785592,-0.30405620699047653,25.534654615199255,0.10157343235848232,0.03123173555115316,0.0,899.7590951914792,900.6318968196293,899.6765789351005,900.1077860027455
1.1400000000000006,0.6595538193394254,-0.2024307441751071,20.88842098928823,0.018653542153524327,6.201231275359165,0.0,1.4700974873539026,-0.29067101453436434,25.923691152828848,0.11467999408562662,0.03627626210658454,0.0,899.8718294859987,900.0759531307542,899.5173902133821,900.0519306019828
